ID,short,"First Name","Last Name",Phone,Email,Date,Epoch,City,State,Owner?,Note
3280,sullivan-le,Sullivan,Le,9581780689,s.le@gmail.com,2020/12/06,1607244809,Hampton,MA,no,"Have been dreaming of a Class A"
8148,desiree-wall,Desiree,Wall,9749820961,d.wall@gmail.com,2020/12/06,1607245303,Boston,MA,no,"May be interested in a trailer"
9358,zion-gibbs,Zion,Gibbs,4942836298,z.gibbs@gmail.com,2020/12/07,1607363320,Quincy,MA,no,"not interested, never will be. "
3797,carley-castillo,Carley,Castillo,7146372972,c.castillo@gmail.com,2020/12/11,1607669837,Fairfield,CT,no,"Used to own a trailer, might be interested in 2021"
9205,moses-porter,Moses,Porter,1926079537,m.porter@gmail.com,2020/12/11,1607691620,Belchertown,MA,"5th Wheel","Has a sm 5th wheel and is ready to upgrade. Would love to get her on a Montana. "
7883,lesly-summers,Lesly,Summers,9438023654,l.summers@gmail.com,2020/12/21,1608554776,Montague,MA,no,"This is dummy data, 135."
3159,tiara-foley,Tiara,Foley,8873805819,t.foley@gmail.com,2020/12/11,1607687373,Chicopee,MA,"Travel Trailer","This is dummy data, 474."
2712,anthony-richards,Anthony,Richards,1310625031,a.richards@gmail.com,2020/12/15,1608015744,Palmer,MA,no,"This is dummy data, 274."
4863,trystan-pham,Trystan,Pham,1488949861,t.pham@gmail.com,2020/12/15,1608065317,Pittsfield,MA,no,"This is dummy data, 844."
1953,corinne-valenzuela,Corinne,Valenzuela,2294842219,c.valenzuela@gmail.com,2020/12/15,1608029923,Fitchburg,MA,"Mini Trailer","This is dummy data, 355."
6661,rodney-huang,Rodney,Huang,4318681768,r.huang@gmail.com,2020/12/18,1608282679,Londonderry,NH,"Class C","This is dummy data, 856."
5006,maryjane-phelps,Maryjane,Phelps,3145932135,m.phelps@gmail.com,2020/12/25,1608880533,Blacksburg,VA,no,"This is dummy data, 937."
